analysis_id,866oo44u7g572p9
pvalue,0.8280183
parameter_id,MGP_IMM_006_001
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
mouse_strain,B6J
mouse_life_stage,Early adult
