parameter_name,Body position
analysis_id,8v8xd2v260hwcdc
mouse_strain,C57BL
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
pvalue,0.2689422
parameter_id,ESLIM_008_001_001
gene_symbol,Cisd2
