analysis_id,6o0t0zju3t2t554
mouse_strain,C57BL
pvalue,0.6601991
gene_symbol,Ufc1
parameter_id,IMPC_ECG_005_001
parameter_name,PQ
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
