parameter_name,Percent time in light
gene_symbol,Nanp
mouse_strain,C55BL
parameter_id,JAX_LDT_009_001
pvalue,0.9515665
gene_accession_id,MGI:1914561
mouse_life_stage,E18.5
analysis_id,0oy599cd66yr1t7
