parameter_name,Neural tube closure
pvalue,0.6833622
mouse_strain,C57BL
gene_symbol,Bmi1
gene_accession_id,MGI:88174
analysis_id,c2b1g6h7pjh47ai
mouse_life_stage,E15.5
parameter_id,IMPC_GEL_027_001
