analysis_id,53r10hyxf9577ro
parameter_id,ESLIM_016_001_003
gene_accession_id,MGI:99501
mouse_strain,C57BL
gene_symbol,Fgb
parameter_name,Haemoglobin
pvalue,0.2065701
mouse_life_stage,E15.5
