mouse_strain,B6J
parameter_id,IMPC_IMM_047_001
parameter_name,DN CD44+CD62L+ NKT cells
gene_symbol,Nr0b2
mouse_life_stage,Early adult
pvalue,0.7895929
analysis_id,6d43cc15173i250
gene_accession_id,MGI:1346344
