analysis_id,38078w7434rwk36
gene_symbol,Alkbh3
mouse_strain,C57BL
gene_accession_id,MGI:1916363
pvalue,0.5446804
parameter_id,MGP_IMM_078_001
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
