parameter_name,Glucose
gene_symbol,Sfpq
analysis_id,22242pv02do19b8
parameter_id,IMPC_CBC_018_001
pvalue,0.9407685
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
mouse_strain,C57BL
