analysis_id,bt920m4f93447qf
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_name,Heart weight
pvalue,0.199613
mouse_life_stage,Early adult
parameter_id,HMGULA_HWT_008_001
