gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
parameter_name,Vibrissae - presence
analysis_id,6k2642cb4973sxj
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_023_001
mouse_strain,C57BL
pvalue,0.7340986
