analysis_id,dlkk030plbi53mx
mouse_strain,C57BL
pvalue,0.7264296
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_002
parameter_name,Retina (combined)
gene_symbol,Arpc2
