analysis_id,mv1sh45o2r1422x
gene_symbol,Npbwr1
gene_accession_id,MGI:891989
mouse_strain,C57BL
parameter_id,IMPC_HEM_036_001
pvalue,0.9106991
parameter_name,Eosinophil cell count
mouse_life_stage,Early adult
