parameter_name,Sacral processes
pvalue,0.31426
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,vi27230gs736m9x
gene_accession_id,MGI:104848
parameter_id,IMPC_XRY_066_001
gene_symbol,Inpp1
