analysis_id,kjc9th4e8z3xo33
mouse_life_stage,E12.5
parameter_name,Cleft palate
pvalue,0.4143242
gene_accession_id,MGI:95835
mouse_strain,C57BL
gene_symbol,Hspa5
parameter_id,IMPC_GEP_076_001
