analysis_id,63628hw7h555d78
parameter_name,Breath rate during sleep standard deviation
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
parameter_id,JAX_SLW_014_001
mouse_strain,C57BL
gene_symbol,Mms22l
pvalue,0.4153937
