analysis_id,d25f27616m66qf6
mouse_strain,C57BL
gene_symbol,Slc17a9
parameter_name,Follicular B cells - % of B2 cells
parameter_id,MGP_IMM_048_001
pvalue,0.9892974
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
