parameter_name,Red blood cell count
gene_symbol,Rab13
pvalue,0.6612382
mouse_life_stage,Early adult
analysis_id,3023d4626qkd1l0
parameter_id,ESLIM_016_001_002
mouse_strain,C57BL
gene_accession_id,MGI:1927232
