analysis_id,kd885950eejrr26
gene_accession_id,MGI:2446274
pvalue,0.05616645
parameter_id,IMPC_XRY_065_001
gene_symbol,Frmpd1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Lumbar processes
