analysis_id,u760m8hb28x5c9f
parameter_name,Shape of vertebrae
gene_accession_id,MGI:1920344
pvalue,0.9865644
parameter_id,IMPC_XRY_018_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sgip1
