analysis_id,v5ocp3619f5r431
gene_accession_id,MGI:97838
parameter_name,KLRG1+ NK cells - % of CD45+
gene_symbol,Eprs1
mouse_strain,C57BL
parameter_id,MGP_MLN_093_001
pvalue,0.7369823
mouse_life_stage,E9.5
