analysis_id,358hr2293eayfmy
gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_id,JAX_OFD_017_001
pvalue,0.3366053
mouse_life_stage,E15.5
mouse_strain,C57BL
parameter_name,Center average speed
