analysis_id,h7a9f3a4s1sr285
gene_accession_id,MGI:1913405
mouse_strain,C56BL
gene_symbol,Ufc1
parameter_id,TCPLA_CSD_030_001
pvalue,0.2297312
mouse_life_stage,Early adult
parameter_name,Tremor
