parameter_name,Chloride
parameter_id,HMGULA_CBC_003_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
mouse_strain,C57BL
pvalue,0.3595087
analysis_id,8j64e265ze359h5
gene_symbol,Dmap1
