gene_symbol,Sgip1
pvalue,0.2874435
parameter_name,PP1 + pulse startle magnitude
mouse_life_stage,Early adult
analysis_id,zyaskzi2ui1ve9q
mouse_strain,C57BL
parameter_id,ESLIM_011_001_007
gene_accession_id,MGI:1920344
