analysis_id,8561cxf62aqq31l
pvalue,0.1124617
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Kdm4c
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_028_001
