parameter_name,Humerus
gene_symbol,Dnajc5b
analysis_id,mi4b3b113i2x4ha
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
pvalue,0.9895308
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
