parameter_id,GMC_906_001_005
gene_accession_id,MGI:1924054
pvalue,0.2133201
mouse_life_stage,Early adult
gene_symbol,Kdm4c
analysis_id,948vz1x9dso6992
mouse_strain,C57BL
parameter_name,Potassium
