analysis_id,0cg40554h14537w
mouse_life_stage,Early adult
parameter_name,Thyroxine
gene_accession_id,MGI:107414
gene_symbol,Tnfsf10
parameter_id,IMPC_CBC_053_001
mouse_strain,C57BL
pvalue,0.0888545
