parameter_name,Placenta Morphology
parameter_id,IMPC_GPO_002_001
pvalue,0.179596
gene_accession_id,MGI:95576
mouse_strain,C57BL
analysis_id,1h6m3uhcg16n91i
mouse_life_stage,Early adult
gene_symbol,Fpgs
