parameter_name,Tibia length
gene_symbol,Trim46
parameter_id,IMPC_XRY_033_001
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,z9h31k64a2u7p50
pvalue,0.863751
