gene_symbol,Nanp
parameter_id,IMPC_CSD_051_002
mouse_life_stage,E18.5
gene_accession_id,MGI:1914561
pvalue,0.5825221
mouse_strain,C57BL
parameter_name,Hindlimb nail - number
analysis_id,7c00g3q06487k5k
