parameter_name,Skull shape
mouse_strain,C57BL
gene_accession_id,MGI:3588214
gene_symbol,Rufy4
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_001_001
analysis_id,47k9894g4yi8nlo
pvalue,0.2641529
