parameter_name,Others
pvalue,0.990381
parameter_id,IMPC_IMM_006_001
mouse_strain,C57BL
gene_symbol,Steap3
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
analysis_id,z3v445e462dlti5
