gene_symbol,Trdmt1
mouse_life_stage,Early adult
parameter_id,MGP_IMM_014_001
analysis_id,3h55eq0z1jc6683
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_strain,C57BL
gene_accession_id,MGI:1274787
pvalue,0.777191
