gene_symbol,Trpa1
pvalue,0.1535821
parameter_name,Tremor
mouse_life_stage,Early adult
analysis_id,10h4l61p0v045aw
gene_accession_id,MGI:3522699
mouse_strain,C57BL
parameter_id,IMPC_CSD_030_001
