gene_symbol,Snrpb2
gene_accession_id,MGI:104805
parameter_name,Resting CD8+ T cells - % of CD8+
analysis_id,931673c6rr86nbq
parameter_id,MGP_MLN_014_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3543013
