mouse_life_stage,Early adult
parameter_name,Respiration Rate
gene_accession_id,MGI:1336200
pvalue,0.7955535
gene_symbol,Hpca
analysis_id,v70yn34wyx788a3
mouse_strain,C57BL
parameter_id,IMPC_ECH_018_001
