analysis_id,0f2mj0m88453v2r
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of CD45+
pvalue,0.6895877
parameter_id,MGP_MLN_093_001
gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
