parameter_id,HMGULA_CBC_003_001
pvalue,0.0705275
gene_accession_id,MGI:1345282
mouse_life_stage,Early adult
analysis_id,p058zy35o536066
gene_symbol,Slc30a4
parameter_name,Chloride
mouse_strain,C57BL
