parameter_name,HR
mouse_life_stage,E12.5
analysis_id,kxffko544s1o60p
gene_symbol,Hspa5
pvalue,0.3286749
mouse_strain,C57BL
parameter_id,IMPC_ECG_002_001
gene_accession_id,MGI:95835
