analysis_id,r4q22nmkus9l9xu
parameter_name,Clavicle
pvalue,0.7507475
gene_accession_id,MGI:1913396
mouse_life_stage,Early adult
gene_symbol,Maco1
parameter_id,IMPC_XRY_007_001
mouse_strain,C57BL
