analysis_id,4lo726zpeu2j3fp
parameter_id,M-G-P_013_001_001
mouse_strain,C57BL
gene_accession_id,MGI:107566
pvalue,0.3118054
gene_symbol,Kifap3
mouse_life_stage,Early adult
parameter_name,Eye
