analysis_id,67ey98gsp719iga
mouse_life_stage,Early adult
parameter_id,MGP_BMI_019_001
parameter_name,T cells - % of CD45+
gene_symbol,Sla2
pvalue,0.4839625
mouse_strain,C57BL
gene_accession_id,MGI:1925049
