parameter_name,Delayed embryonic development
gene_accession_id,MGI:1328306
mouse_life_stage,E9.5
pvalue,0.2071102
mouse_strain,C57BL
gene_symbol,Orc2
parameter_id,IMPC_GEL_063_001
analysis_id,cqjfj9ag8o7r96z
