analysis_id,04926r2nq834469
gene_accession_id,MGI:1888742
mouse_strain,C57BL
gene_symbol,Extl1
mouse_life_stage,Early adult
pvalue,0.4290417
parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
