parameter_name,Placenta Size
mouse_strain,129SV
parameter_id,IMPC_GPP_004_001
gene_accession_id,MGI:104848
gene_symbol,Inpp1
pvalue,0.4662627
mouse_life_stage,Early adult
analysis_id,3hr053i8pt6n19w
