parameter_name,Platelet count
gene_accession_id,MGI:1923959
parameter_id,IMPC_HEM_008_001
pvalue,0.9463428
gene_symbol,Arpc2
mouse_strain,C57BL
analysis_id,p5183b2o16wrwk6
mouse_life_stage,Early adult
