gene_symbol,Hpca
pvalue,0.6943371
analysis_id,gqhy0u82o8p60lb
parameter_name,Body Weight
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1336200
parameter_id,M-G-P_012_001_005
