analysis_id,69j24210v0z1wxp
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
pvalue,0.7160384
gene_symbol,Eprs1
parameter_id,IMPC_IMM_005_002
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
mouse_strain,C57BL
