parameter_name,Cleft palate
gene_accession_id,MGI:1914061
mouse_strain,C52BL
gene_symbol,Duoxa2
parameter_id,IMPC_GEP_076_001
analysis_id,1peomvs27h48u4x
pvalue,0.5608075
mouse_life_stage,Early adult
