analysis_id,9po0ht2t4x0f57u
parameter_name,Respiration Rate
mouse_strain,C57BL
gene_accession_id,MGI:109384
gene_symbol,Atf3
pvalue,0.8032787
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_018_001
