analysis_id,3j581ph29zt89l7
parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
parameter_id,MGP_CSD_025_001
gene_symbol,Tnni1
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
pvalue,0.3737956
