gene_symbol,Jun
pvalue,1.392184
mouse_strain,C57BL
parameter_name,Click-evoked ABR threshold
mouse_life_stage,E15.5
analysis_id,96mn192a28w3xm2
gene_accession_id,MGI:96646
parameter_id,IMPC_ABR_002_001
