parameter_name,Vibrissae - appearance
parameter_id,HMGULA_DYS_024_001
pvalue,0.6319549
gene_symbol,Ivd
analysis_id,52817v0j4j6ud7x
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1929242
