gene_symbol,Eprs1
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
analysis_id,ay8h66858vu88i5
parameter_id,IMPC_HEM_039_001
pvalue,0.3406353
parameter_name,Large Unstained Cell (LUC) count
