gene_symbol,Dnajc6
parameter_name,HDL-cholesterol
mouse_strain,C57BL
gene_accession_id,MGI:1919935
pvalue,0.07821704
analysis_id,1o11ipiq4001crs
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_016_001
