gene_symbol,Sass6
mouse_life_stage,E12.5
parameter_id,MGP_MLN_013_001
gene_accession_id,MGI:1920026
parameter_name,Effector CD8+ T cells - % of CD8+
analysis_id,g01hg2812dbt873
mouse_strain,C57BL
pvalue,0.1787492
