parameter_name,Percent time in dark
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Lime1
analysis_id,41103087qvg7002
parameter_id,JAX_LDT_008_001
gene_accession_id,MGI:1919949
pvalue,0.7427145
