gene_symbol,Galk2
gene_accession_id,MGI:1917226
mouse_life_stage,Early adult
analysis_id,n082p3ve4f7m207
parameter_id,JAXLA_CSD_007_001
mouse_strain,C57BL
parameter_name,Coat - color - abdomen
pvalue,0.3624818
