analysis_id,7247q466ts5c0c7
pvalue,0.3237776
gene_accession_id,MGI:104848
mouse_strain,C57BL
parameter_id,IMPC_FEA_106_001
mouse_life_stage,Early adult
gene_symbol,Inpp1
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
