analysis_id,8i239eo26th6u83
mouse_strain,C57BL
pvalue,0.350789
parameter_name,Heart looping
gene_symbol,Ola1
parameter_id,IMPC_GEL_057_001
gene_accession_id,MGI:1914309
mouse_life_stage,E18.5
