parameter_id,IMPC_CSD_008_001
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
analysis_id,2v1o04d7tn92a70
mouse_strain,129SV
gene_symbol,Arpc2
pvalue,0.8834628
