analysis_id,042qp3b75q9dcwh
pvalue,0.9804229
mouse_strain,129SV
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
parameter_id,ESLIM_016_001_003
gene_symbol,DDX27
parameter_name,Haemoglobin
